tamanho,arestas,repeticao,fonte,algoritmo,tempo_s,co2_kg,co2_mg
100,511,6,0,MinHeap_O((V+E)logV),0.0010282689999598915,4.968827431827615e-09,0.004968827431827615
100,511,6,0,NetworkX (Ref),0.0006107899999960864,3.975559657594259e-09,0.003975559657594259
100,511,6,89,Classic_O(V^2),0.0009428289999959816,5.044118166025417e-09,0.005044118166025417
100,511,6,89,MinHeap_O((V+E)logV),0.0007241809999527504,4.245321774023297e-09,0.0042453217740232975
100,511,6,89,NetworkX (Ref),0.0006081299999891598,4.083432816558358e-09,0.004083432816558358
100,511,6,73,Classic_O(V^2),0.0009034409999912896,4.835275412015682e-09,0.004835275412015682
100,511,6,73,MinHeap_O((V+E)logV),0.0006712020000350094,4.012306984875024e-09,0.004012306984875024
100,511,6,73,NetworkX (Ref),0.0006615600000259292,4.246390923591649e-09,0.0042463909235916485
100,484,7,51,Classic_O(V^2),0.0009183840000446253,5.0725980617175455e-09,0.005072598061717545
100,484,7,51,MinHeap_O((V+E)logV),0.0011010659999897143,5.253044691811222e-09,0.005253044691811222
100,484,7,51,NetworkX (Ref),0.0008813970000005611,4.575220778130559e-09,0.004575220778130559
100,484,7,2,Classic_O(V^2),0.0016839109999864377,9.501216974522971e-09,0.00950121697452297
100,484,7,2,MinHeap_O((V+E)logV),0.00069833899999594,4.28433275390651e-09,0.00428433275390651
100,484,7,2,NetworkX (Ref),0.0009738050000009935,4.685212659143428e-09,0.0046852126591434284
100,484,7,29,Classic_O(V^2),0.0009571770000320612,5.029471501388334e-09,0.005029471501388333
100,484,7,29,MinHeap_O((V+E)logV),0.000888187000043672,4.896013421219195e-09,0.004896013421219195
100,484,7,29,NetworkX (Ref),0.0006608699999901546,4.244255507951425e-09,0.0042442555079514254
100,484,7,28,Classic_O(V^2),0.0009185659999957352,4.923390021376526e-09,0.004923390021376526
100,484,7,28,MinHeap_O((V+E)logV),0.0007313710000289575,4.453189469891786e-09,0.004453189469891786
100,484,7,28,NetworkX (Ref),0.0006111339999961274,4.2170654209432345e-09,0.004217065420943234
100,484,7,93,Classic_O(V^2),0.0015045850000205974,6.514809207190579e-09,0.006514809207190579
100,484,7,93,MinHeap_O((V+E)logV),0.0010524539999892113,6.93795382729947e-09,0.0069379538272994696
100,484,7,93,NetworkX (Ref),0.0006595550000270123,4.117956252239237e-09,0.004117956252239237
100,504,8,84,Classic_O(V^2),0.0009887399999684021,5.439025251531176e-09,0.005439025251531176
100,504,8,84,MinHeap_O((V+E)logV),0.0007049519999782206,4.239509819964294e-09,0.004239509819964294
100,504,8,84,NetworkX (Ref),0.0006618229999730829,4.1936867873168045e-09,0.004193686787316805
100,504,8,3,Classic_O(V^2),0.0009254990000044927,5.060814653563489e-09,0.005060814653563489
100,504,8,3,MinHeap_O((V+E)logV),0.0006869709999932638,4.1179092066248896e-09,0.004117909206624889
100,504,8,3,NetworkX (Ref),0.0006654000000025917,4.565494477316752e-09,0.004565494477316752
100,504,8,60,Classic_O(V^2),0.000901612000006935,4.848296423245593e-09,0.004848296423245593
100,504,8,60,MinHeap_O((V+E)logV),0.0007078119999732735,4.642706190393711e-09,0.004642706190393711
100,504,8,60,NetworkX (Ref),0.0009773759999802678,4.674346944003263e-09,0.004674346944003263
100,504,8,20,Classic_O(V^2),0.0016466160000163654,7.021397262753559e-09,0.007021397262753559
100,504,8,20,MinHeap_O((V+E)logV),0.0006425509999985479,4.4579354614820455e-09,0.004457935461482046
100,504,8,20,NetworkX (Ref),0.0006836320000047635,4.2622584976958785e-09,0.004262258497695879
100,504,8,68,Classic_O(V^2),0.0008997799999974632,5.062332861077567e-09,0.005062332861077567
100,504,8,68,MinHeap_O((V+E)logV),0.0006953329999532798,4.239003245003383e-09,0.004239003245003384
100,504,8,68,NetworkX (Ref),0.0006738069999983054,4.12679475678675e-09,0.00412679475678675
100,521,9,67,Classic_O(V^2),0.0009139690000097289,5.04204299940585e-09,0.00504204299940585
100,521,9,67,MinHeap_O((V+E)logV),0.0006930879999913486,4.176511193266594e-09,0.004176511193266594
100,521,9,67,NetworkX (Ref),0.0006786710000028506,4.154895555817426e-09,0.004154895555817426
100,521,9,54,Classic_O(V^2),0.0014454770000043027,6.304697435635047e-09,0.006304697435635047
100,521,9,54,MinHeap_O((V+E)logV),0.0011202289999800996,1.0703391697342053e-08,0.010703391697342053
100,521,9,54,NetworkX (Ref),0.00149101099998461,6.533056834029571e-09,0.006533056834029572
100,521,9,61,Classic_O(V^2),0.0009253899999634996,5.2146407521356765e-09,0.005214640752135676
100,521,9,61,MinHeap_O((V+E)logV),0.0006551419999709651,4.3288184771443225e-09,0.004328818477144322
100,521,9,61,NetworkX (Ref),0.0007033950000163713,4.273506496390067e-09,0.004273506496390067
100,521,9,69,Classic_O(V^2),0.0009499380000193014,5.180425996427281e-09,0.005180425996427282
100,521,9,69,MinHeap_O((V+E)logV),0.0006997220000357629,4.237697198029166e-09,0.004237697198029166
100,521,9,69,NetworkX (Ref),0.000658347000012327,4.0907538726341275e-09,0.004090753872634127
100,521,9,4,Classic_O(V^2),0.0009442180000291955,5.078457213304605e-09,0.005078457213304605
100,521,9,4,MinHeap_O((V+E)logV),0.0006926510000084818,4.174979630924211e-09,0.004174979630924211
100,521,9,4,NetworkX (Ref),0.000991516999988562,4.773888628742322e-09,0.0047738886287423225
